args Namespace(arch='vgg19_bn', batch_size=128, closeset_ratio=0.2, conf_ema_range=[0.8, 0.9], cosine=True, dataset='Animal10N', epochs=150, epsilon=0.53, exp_dir='experiment/Animal10N-sota/Animal10N_2023-08-08-21-02-27ds_Animal10N_lr_0.02_ep_150_ps_1_lw_0.8_warmupepochs_12_rechange_per_epoch_30', forget_rate=0.2, gpu=0, loss_weight1=0.8, loss_weight2=1.5, low_dim=512, lr=0.02, lr_decay_epochs='100,150,180', lr_decay_rate=0.1, moco_m=0.999, moco_queue=8192, momentum=0.99, n_classes=196, noise_type='symmetric', print_freq=100, prot_start=1, proto_m=0.998, rechange_per_epoch=30, resume='', seed=100, synthetic_data=None, topk=5, warmupepochs=12, weight_decay=0.0005, workers=32)

Epoch 0: TrainACC 28.397937774658203, Acc 39.916133880615234, Best Acc 0. (lr 0.02, MMC 1.0)
Epoch 36: TrainACC tensor([67.80], device='cuda:0'), Acc 71.42572021484375, Best Acc 71.24600219726562. (lr 0.017292396587939903, MMC 0.8898838758468628)
Epoch 37: TrainACC tensor([67.85], device='cuda:0'), Acc 70.64696502685547, Best Acc 71.42572021484375. (lr 0.017147582069531705, MMC 0.8902494311332703)
Epoch 38: TrainACC tensor([67.66], device='cuda:0'), Acc 69.00958251953125, Best Acc 71.42572021484375. (lr 0.016999636771728523, MMC 0.8904950022697449)
Epoch 39: TrainACC tensor([67.60], device='cuda:0'), Acc 71.22603607177734, Best Acc 71.42572021484375. (lr 0.0168486255882276, MMC 0.8909209966659546)
Epoch 40: TrainACC tensor([68.13], device='cuda:0'), Acc 72.0247573852539, Best Acc 71.42572021484375. (lr 0.016694614757524994, MMC 0.8910041451454163)
Epoch 41: TrainACC tensor([65.81], device='cuda:0'), Acc 69.10942077636719, Best Acc 72.0247573852539. (lr 0.016537671833861154, MMC 0.8910107612609863)
Epoch 42: TrainACC tensor([67.23], device='cuda:0'), Acc 70.46725463867188, Best Acc 72.0247573852539. (lr 0.016377865657589412, MMC 0.881149172782898)
Epoch 43: TrainACC tensor([68.10], device='cuda:0'), Acc 72.90335083007812, Best Acc 72.0247573852539. (lr 0.016215266324980323, MMC 0.873282790184021)
Epoch 44: TrainACC tensor([67.97], device='cuda:0'), Acc 71.52555847167969, Best Acc 72.90335083007812. (lr 0.016049945157475126, MMC 0.8670315146446228)
Epoch 45: TrainACC tensor([67.93], device='cuda:0'), Acc 69.02954864501953, Best Acc 72.90335083007812. (lr 0.015881974670401807, MMC 0.8618226051330566)
Epoch 46: TrainACC tensor([68.36], device='cuda:0'), Acc 70.70687103271484, Best Acc 72.90335083007812. (lr 0.015711428541167475, MMC 0.8576245307922363)
Epoch 47: TrainACC tensor([68.94], device='cuda:0'), Acc 73.18290710449219, Best Acc 72.90335083007812. (lr 0.015538381576941008, MMC 0.8548629283905029)
Epoch 48: TrainACC tensor([68.68], device='cuda:0'), Acc 71.58546447753906, Best Acc 73.18290710449219. (lr 0.015362909681840176, MMC 0.8531239032745361)
Epoch 49: TrainACC tensor([68.95], device='cuda:0'), Acc 71.24600219726562, Best Acc 73.18290710449219. (lr 0.015185089823637572, MMC 0.8520953059196472)
Epoch 50: TrainACC tensor([67.73], device='cuda:0'), Acc 72.2444076538086, Best Acc 73.18290710449219. (lr 0.015005000000000001, MMC 0.8509244918823242)
Epoch 51: TrainACC tensor([69.22], device='cuda:0'), Acc 73.02316284179688, Best Acc 73.18290710449219. (lr 0.014822719204276136, MMC 0.8509254455566406)
Epoch 52: TrainACC tensor([69.53], device='cuda:0'), Acc 72.7835464477539, Best Acc 73.18290710449219. (lr 0.01463832739084742, MMC 0.8514885902404785)
Epoch 53: TrainACC tensor([69.80], device='cuda:0'), Acc 70.52715301513672, Best Acc 73.18290710449219. (lr 0.014451905440057426, MMC 0.8520285487174988)
Epoch 54: TrainACC tensor([69.52], device='cuda:0'), Acc 71.8650131225586, Best Acc 73.18290710449219. (lr 0.014263535122735076, MMC 0.8523001074790955)
Epoch 55: TrainACC tensor([69.48], device='cuda:0'), Acc 72.72364044189453, Best Acc 73.18290710449219. (lr 0.014073299064327244, MMC 0.8524373173713684)
Epoch 56: TrainACC tensor([69.72], device='cuda:0'), Acc 71.685302734375, Best Acc 73.18290710449219. (lr 0.013881280708656508, MMC 0.8529167175292969)
Epoch 57: TrainACC tensor([69.90], device='cuda:0'), Acc 73.26277923583984, Best Acc 73.18290710449219. (lr 0.013687564281319935, MMC 0.8533180952072144)
Epoch 58: TrainACC tensor([69.92], device='cuda:0'), Acc 73.22283935546875, Best Acc 73.26277923583984. (lr 0.013492234752744935, MMC 0.853101372718811)
Epoch 59: TrainACC tensor([70.65], device='cuda:0'), Acc 72.16453552246094, Best Acc 73.26277923583984. (lr 0.013295377800918447, MMC 0.853569746017456)
Epoch 60: TrainACC tensor([70.35], device='cuda:0'), Acc 69.70846557617188, Best Acc 73.26277923583984. (lr 0.013097079773805725, MMC 0.853781521320343)
Epoch 61: TrainACC tensor([70.08], device='cuda:0'), Acc 71.58546447753906, Best Acc 73.26277923583984. (lr 0.01289742765147527, MMC 0.8542563915252686)
Epoch 62: TrainACC tensor([70.57], device='cuda:0'), Acc 73.3426513671875, Best Acc 73.26277923583984. (lr 0.012696509007946504, MMC 0.854603111743927)
Epoch 63: TrainACC tensor([70.60], device='cuda:0'), Acc 73.84185028076172, Best Acc 73.3426513671875. (lr 0.012494411972776898, MMC 0.8549253940582275)
Epoch 64: TrainACC tensor([70.50], device='cuda:0'), Acc 73.98162841796875, Best Acc 73.84185028076172. (lr 0.012291225192405452, MMC 0.855194091796875)
