args Namespace(arch='resnet50', batch_size=32, closeset_ratio=0.2, conf_ema_range=[0.4, 0.4], cosine=True, dataset='food101n', epochs=200, epsilon=0.6, exp_dir='experiment/Food101N-sota/Food101N2023-12-12-14-41-57ds_food101n_lr_0.01_ep_200_ps_1_lw_0.4_warmupepochs_10_rechange_per_epoch_30', forget_rate=0.2, gpu=0, loss_weight1=0.4, loss_weight2=1.0, low_dim=512, lr=0.01, lr_decay_epochs='100,150,180', lr_decay_rate=0.1, moco_m=0.999, moco_queue=4096, momentum=0.9, n_classes=101, noise_type='symmetric', print_freq=100, prot_start=1, proto_m=0.99, rechange_per_epoch=30, resume='', seed=100, synthetic_data=None, topk=25, warmupepochs=10, warmuplr=0.01, weight_decay=0.0005, workers=32)

Epoch 0: TrainACC 51.396820068359375, Acc 66.26425170898438, Best Acc 0. (lr 0.01, MMC 1.0)
Epoch 35: TrainACC tensor([58.58], device='cuda:0'), Acc 69.7435073852539, Best Acc 72.02342987060547. (lr 0.00926393762094869, MMC 0.8513588309288025)
Epoch 36: TrainACC tensor([58.62], device='cuda:0'), Acc 70.40848541259766, Best Acc 72.02342987060547. (lr 0.009222417987882566, MMC 0.8515702486038208)
Epoch 37: TrainACC tensor([58.65], device='cuda:0'), Acc 71.98384857177734, Best Acc 72.02342987060547. (lr 0.009179857770034511, MMC 0.8518431186676025)
Epoch 38: TrainACC tensor([58.79], device='cuda:0'), Acc 70.73701477050781, Best Acc 72.02342987060547. (lr 0.009136267468501436, MMC 0.8520328402519226)
Epoch 39: TrainACC tensor([59.40], device='cuda:0'), Acc 72.87444305419922, Best Acc 72.02342987060547. (lr 0.009091657838537992, MMC 0.8520214557647705)
Epoch 40: TrainACC tensor([57.97], device='cuda:0'), Acc 71.67510986328125, Best Acc 72.87444305419922. (lr 0.009046039886902862, MMC 0.8170970678329468)
Epoch 41: TrainACC tensor([58.65], device='cuda:0'), Acc 70.91117858886719, Best Acc 72.87444305419922. (lr 0.008999424869143019, MMC 0.8097643256187439)
Epoch 42: TrainACC tensor([58.79], device='cuda:0'), Acc 68.84895324707031, Best Acc 72.87444305419922. (lr 0.008951824286816573, MMC 0.8101510405540466)
Epoch 43: TrainACC tensor([58.71], device='cuda:0'), Acc 71.9403076171875, Best Acc 72.87444305419922. (lr 0.008903249884654957, MMC 0.8107802867889404)
Epoch 44: TrainACC tensor([58.93], device='cuda:0'), Acc 72.50237274169922, Best Acc 72.87444305419922. (lr 0.008853713647665068, MMC 0.8108505606651306)
Epoch 45: TrainACC tensor([58.94], device='cuda:0'), Acc 68.6866683959961, Best Acc 72.87444305419922. (lr 0.008803227798172155, MMC 0.811369776725769)
Epoch 46: TrainACC tensor([58.91], device='cuda:0'), Acc 67.62191009521484, Best Acc 72.87444305419922. (lr 0.008751804792804145, MMC 0.811592698097229)
Epoch 47: TrainACC tensor([58.88], device='cuda:0'), Acc 69.48226928710938, Best Acc 72.87444305419922. (lr 0.008699457319418154, MMC 0.8118210434913635)
Epoch 48: TrainACC tensor([59.15], device='cuda:0'), Acc 71.42970275878906, Best Acc 72.87444305419922. (lr 0.008646198293969952, MMC 0.8123363852500916)
Epoch 49: TrainACC tensor([59.05], device='cuda:0'), Acc 70.96263122558594, Best Acc 72.87444305419922. (lr 0.008592040857327128, MMC 0.8123142719268799)
Epoch 50: TrainACC tensor([59.14], device='cuda:0'), Acc 71.20408630371094, Best Acc 72.87444305419922. (lr 0.008536998372026804, MMC 0.8128122687339783)
Epoch 51: TrainACC tensor([59.25], device='cuda:0'), Acc 72.20946502685547, Best Acc 72.87444305419922. (lr 0.00848108441897861, MMC 0.8129470944404602)
Epoch 52: TrainACC tensor([59.26], device='cuda:0'), Acc 70.58264923095703, Best Acc 72.87444305419922. (lr 0.0084243127941138, MMC 0.8131668567657471)
Epoch 53: TrainACC tensor([59.42], device='cuda:0'), Acc 71.68698120117188, Best Acc 72.87444305419922. (lr 0.008366697504981318, MMC 0.8131138682365417)
Epoch 54: TrainACC tensor([59.32], device='cuda:0'), Acc 70.70535278320312, Best Acc 72.87444305419922. (lr 0.00830825276729164, MMC 0.8135220408439636)
Epoch 55: TrainACC tensor([59.39], device='cuda:0'), Acc 72.79528045654297, Best Acc 72.87444305419922. (lr 0.008248993001409268, MMC 0.8134835362434387)
Epoch 56: TrainACC tensor([59.53], device='cuda:0'), Acc 73.35734558105469, Best Acc 72.87444305419922. (lr 0.008188932828794706, MMC 0.8140184283256531)
