args Namespace(arch='sevenCNN', batch_size=128, closeset_ratio=0.2, conf_ema_range=[0.8, 0.9], cosine=True, dataset='cifar100', epochs=200, epsilon=0.6, exp_dir='experiment/cifar-sota/Cifar2023-08-14-14-20-03ds_cifar100_lr_0.02_ep_200_ps_1_lw_1.3_warmupepochs_30_rechange_per_epoch_30', forget_rate=0.2, gpu=0, loss_weight1=1.3, loss_weight2=0.7, low_dim=256, lr=0.02, lr_decay_epochs='100,150,180', lr_decay_rate=0.1, moco_m=0.999, moco_queue=8192, momentum=0.9, n_classes=100, noise_type='symmetric', print_freq=100, prot_start=1, proto_m=0.988, rechange_per_epoch=30, resume='', seed=100, synthetic_data='cifar100nc', topk=10, warmupepochs=30, warmuplr=0.01, weight_decay=0.0011, workers=32)

Epoch 0: TrainACC 7.044437408447266, Acc 14.769999504089355, Best Acc 0. (lr 0.02, MMC 1.0)
Epoch 62: TrainACC tensor([50.43], device='cuda:0'), Acc 54.94999694824219, Best Acc 54.709999084472656. (lr 0.015625212944742787, MMC 0.8617482781410217)
Epoch 63: TrainACC tensor([50.95], device='cuda:0'), Acc 54.63999938964844, Best Acc 54.94999694824219. (lr 0.015494737951801337, MMC 0.8582899570465088)
Epoch 64: TrainACC tensor([50.78], device='cuda:0'), Acc 54.48999786376953, Best Acc 54.94999694824219. (lr 0.015362909681840176, MMC 0.8559145331382751)
Epoch 65: TrainACC tensor([51.11], device='cuda:0'), Acc 54.869998931884766, Best Acc 54.94999694824219. (lr 0.01522976066151233, MMC 0.85445636510849)
Epoch 66: TrainACC tensor([51.21], device='cuda:0'), Acc 54.81999969482422, Best Acc 54.94999694824219. (lr 0.01509532374334621, MMC 0.853746235370636)
Epoch 67: TrainACC tensor([51.30], device='cuda:0'), Acc 53.90999984741211, Best Acc 54.94999694824219. (lr 0.014959632097639753, MMC 0.8535129427909851)
Epoch 68: TrainACC tensor([51.50], device='cuda:0'), Acc 55.16999816894531, Best Acc 54.94999694824219. (lr 0.014822719204276136, MMC 0.8536263108253479)
Epoch 69: TrainACC tensor([51.61], device='cuda:0'), Acc 52.98999786376953, Best Acc 55.16999816894531. (lr 0.01468461884446313, MMC 0.8538280129432678)
Epoch 70: TrainACC tensor([51.91], device='cuda:0'), Acc 54.65999984741211, Best Acc 55.16999816894531. (lr 0.014545365092398073, MMC 0.8544102907180786)
Epoch 71: TrainACC tensor([52.06], device='cuda:0'), Acc 55.84000015258789, Best Acc 55.16999816894531. (lr 0.014404992306860591, MMC 0.8549896478652954)
Epoch 72: TrainACC tensor([52.00], device='cuda:0'), Acc 54.65999984741211, Best Acc 55.84000015258789. (lr 0.014263535122735076, MMC 0.8554741740226746)
Epoch 73: TrainACC tensor([52.17], device='cuda:0'), Acc 54.88999938964844, Best Acc 55.84000015258789. (lr 0.014121028442465038, MMC 0.8559507727622986)
Epoch 74: TrainACC tensor([52.33], device='cuda:0'), Acc 55.98999786376953, Best Acc 55.84000015258789. (lr 0.013977507427441457, MMC 0.8564801216125488)
Epoch 75: TrainACC tensor([52.48], device='cuda:0'), Acc 55.369998931884766, Best Acc 55.98999786376953. (lr 0.013833007489327247, MMC 0.8569352626800537)
Epoch 76: TrainACC tensor([52.56], device='cuda:0'), Acc 56.959999084472656, Best Acc 55.98999786376953. (lr 0.013687564281319935, MMC 0.8572731018066406)
Epoch 77: TrainACC tensor([52.79], device='cuda:0'), Acc 56.66999816894531, Best Acc 56.959999084472656. (lr 0.01354121368935478, MMC 0.8576455116271973)
Epoch 78: TrainACC tensor([52.86], device='cuda:0'), Acc 56.79999923706055, Best Acc 56.959999084472656. (lr 0.013393991823250464, MMC 0.8579611778259277)
Epoch 79: TrainACC tensor([53.01], device='cuda:0'), Acc 56.53999710083008, Best Acc 56.959999084472656. (lr 0.013245935007799513, MMC 0.8584113717079163)
Epoch 80: TrainACC tensor([52.79], device='cuda:0'), Acc 55.05999755859375, Best Acc 56.959999084472656. (lr 0.013097079773805725, MMC 0.8588719367980957)
Epoch 81: TrainACC tensor([52.94], device='cuda:0'), Acc 55.91999816894531, Best Acc 56.959999084472656. (lr 0.012947462849070718, MMC 0.8591940402984619)
Epoch 82: TrainACC tensor([53.15], device='cuda:0'), Acc 57.55999755859375, Best Acc 56.959999084472656. (lr 0.0127971211493319, MMC 0.8596400022506714)
Epoch 83: TrainACC tensor([53.47], device='cuda:0'), Acc 56.93000030517578, Best Acc 57.55999755859375. (lr 0.012646091769154074, MMC 0.85991370677948)
Epoch 84: TrainACC tensor([53.56], device='cuda:0'), Acc 56.81999969482422, Best Acc 57.55999755859375. (lr 0.012494411972776898, MMC 0.8600596785545349)
Epoch 85: TrainACC tensor([53.56], device='cuda:0'), Acc 55.69999694824219, Best Acc 57.55999755859375. (lr 0.012342119184920496, MMC 0.8601729273796082)
Epoch 86: TrainACC tensor([53.32], device='cuda:0'), Acc 55.84000015258789, Best Acc 57.55999755859375. (lr 0.012189250981551462, MMC 0.8605201244354248)
Epoch 87: TrainACC tensor([53.78], device='cuda:0'), Acc 56.79999923706055, Best Acc 57.55999755859375. (lr 0.01203584508061156, MMC 0.8608025312423706)
Epoch 88: TrainACC tensor([53.85], device='cuda:0'), Acc 57.04999923706055, Best Acc 57.55999755859375. (lr 0.01188193933271139, MMC 0.8610135912895203)
Epoch 89: TrainACC tensor([53.68], device='cuda:0'), Acc 57.349998474121094, Best Acc 57.55999755859375. (lr 0.0117275717117913, MMC 0.8606035709381104)
Epoch 90: TrainACC tensor([53.45], device='cuda:0'), Acc 56.80999755859375, Best Acc 57.55999755859375. (lr 0.011572780305751908, MMC 0.8582459092140198)
Epoch 91: TrainACC tensor([53.93], device='cuda:0'), Acc 56.0, Best Acc 57.55999755859375. (lr 0.011417603307056453, MMC 0.8563398122787476)
Epoch 92: TrainACC tensor([54.08], device='cuda:0'), Acc 58.269996643066406, Best Acc 57.55999755859375. (lr 0.011262079003307402, MMC 0.8548868298530579)
Epoch 93: TrainACC tensor([54.17], device='cuda:0'), Acc 58.06999969482422, Best Acc 58.269996643066406. (lr 0.011106245767799543, MMC 0.8537842035293579)
Epoch 94: TrainACC tensor([54.22], device='cuda:0'), Acc 56.029998779296875, Best Acc 58.269996643066406. (lr 0.010950142050051959, MMC 0.8529665470123291)
Epoch 95: TrainACC tensor([54.52], device='cuda:0'), Acc 56.38999938964844, Best Acc 58.269996643066406. (lr 0.010793806366321173, MMC 0.8524276614189148)
Epoch 96: TrainACC tensor([54.86], device='cuda:0'), Acc 57.12999725341797, Best Acc 58.269996643066406. (lr 0.010637277290097842, MMC 0.8519871830940247)
Epoch 97: TrainACC tensor([54.58], device='cuda:0'), Acc 57.15999984741211, Best Acc 58.269996643066406. (lr 0.01048059344258933, MMC 0.8519359827041626)
Epoch 98: TrainACC tensor([54.74], device='cuda:0'), Acc 58.62999725341797, Best Acc 58.269996643066406. (lr 0.010323793483190501, MMC 0.8518795371055603)
Epoch 99: TrainACC tensor([54.99], device='cuda:0'), Acc 56.90999984741211, Best Acc 58.62999725341797. (lr 0.010166916099945088, MMC 0.8520036339759827)
Epoch 100: TrainACC tensor([55.11], device='cuda:0'), Acc 56.90999984741211, Best Acc 58.62999725341797. (lr 0.01001, MMC 0.852161705493927)
Epoch 101: TrainACC tensor([55.43], device='cuda:0'), Acc 57.21999740600586, Best Acc 58.62999725341797. (lr 0.009853083900054913, MMC 0.8525545001029968)
Epoch 102: TrainACC tensor([55.57], device='cuda:0'), Acc 57.90999984741211, Best Acc 58.62999725341797. (lr 0.009696206516809499, MMC 0.8528456091880798)
Epoch 103: TrainACC tensor([55.68], device='cuda:0'), Acc 58.06999969482422, Best Acc 58.62999725341797. (lr 0.00953940655741067, MMC 0.8530430793762207)
Epoch 104: TrainACC tensor([55.59], device='cuda:0'), Acc 57.349998474121094, Best Acc 58.62999725341797. (lr 0.00938272270990216, MMC 0.8533912897109985)
Epoch 105: TrainACC tensor([55.71], device='cuda:0'), Acc 58.30999755859375, Best Acc 58.62999725341797. (lr 0.00922619363367883, MMC 0.8537118434906006)
Epoch 106: TrainACC tensor([55.83], device='cuda:0'), Acc 57.54999923706055, Best Acc 58.62999725341797. (lr 0.009069857949948041, MMC 0.8539866209030151)
Epoch 107: TrainACC tensor([56.11], device='cuda:0'), Acc 58.64999771118164, Best Acc 58.62999725341797. (lr 0.008913754232200458, MMC 0.8544580936431885)
Epoch 108: TrainACC tensor([56.25], device='cuda:0'), Acc 58.96999740600586, Best Acc 58.64999771118164. (lr 0.0087579209966926, MMC 0.8547860980033875)
Epoch 109: TrainACC tensor([56.46], device='cuda:0'), Acc 58.15999984741211, Best Acc 58.96999740600586. (lr 0.008602396692943551, MMC 0.8552002906799316)
Epoch 110: TrainACC tensor([56.42], device='cuda:0'), Acc 59.63999938964844, Best Acc 58.96999740600586. (lr 0.008447219694248094, MMC 0.8556219339370728)
Epoch 111: TrainACC tensor([56.75], device='cuda:0'), Acc 58.75, Best Acc 59.63999938964844. (lr 0.008292428288208697, MMC 0.8558316826820374)
Epoch 112: TrainACC tensor([56.76], device='cuda:0'), Acc 58.22999954223633, Best Acc 59.63999938964844. (lr 0.00813806066728861, MMC 0.856163740158081)
Epoch 113: TrainACC tensor([56.84], device='cuda:0'), Acc 58.88999938964844, Best Acc 59.63999938964844. (lr 0.00798415491938844, MMC 0.8565170168876648)
Epoch 114: TrainACC tensor([56.95], device='cuda:0'), Acc 59.119998931884766, Best Acc 59.63999938964844. (lr 0.007830749018448543, MMC 0.8568091988563538)
Epoch 115: TrainACC tensor([57.36], device='cuda:0'), Acc 58.09000015258789, Best Acc 59.63999938964844. (lr 0.0076778808150795045, MMC 0.8570462465286255)
Epoch 116: TrainACC tensor([57.27], device='cuda:0'), Acc 58.8599967956543, Best Acc 59.63999938964844. (lr 0.0075255880272231, MMC 0.8574482798576355)
Epoch 117: TrainACC tensor([57.52], device='cuda:0'), Acc 58.78999710083008, Best Acc 59.63999938964844. (lr 0.007373908230845926, MMC 0.8577462434768677)
