args Namespace(arch='InceptionResNetV2', batch_size=32, closeset_ratio=0.2, conf_ema_range=[0.4, 0.4], cosine=True, dataset='Webvision', epochs=200, epsilon=0.6, exp_dir='experiment/Webvision_cuda0/Resample_2023-08-03-15-12-10ds_Webvision_pr_0.1_lr_0.02_ep_200_ps_1_lw_0.4_heir_False_warmupepochs_39_rechange_per_epoch_30', forget_rate=0.15, gpu=0, hierarchical=False, loss_weight1=0.4, loss_weight2=1.0, loss_weight4=1.0, low_dim=512, lr=0.02, lr_decay_epochs='100,150,180', lr_decay_rate=0.1, moco_m=0.999, moco_queue=4096, momentum=0.9, n_classes=50, noise_type='symmetric', partial_rate=0.1, print_freq=100, prot_start=1, proto_m=0.99, rechange_per_epoch=30, resume='', seed=100, synthetic_data=None, topk=25, warmupepochs=39, weight_decay=0.0005, workers=32)

Epoch 0: TrainACC 21.851245880126953, Acc 24.044586181640625, Best Acc 0. (lr 0.02, MMC 1.0)
Epoch 79: TrainACC tensor([67.71], device='cuda:0'), Acc 67.19745635986328, Best Acc 69.10828399658203. (lr 0.013245935007799513, MMC 0.9509178996086121)
Epoch 80: TrainACC tensor([67.87], device='cuda:0'), Acc 67.87420654296875, Best Acc 69.10828399658203. (lr 0.013097079773805725, MMC 0.9510985016822815)
Epoch 81: TrainACC tensor([68.07], device='cuda:0'), Acc 64.88853454589844, Best Acc 69.10828399658203. (lr 0.012947462849070718, MMC 0.9510886669158936)
Epoch 82: TrainACC tensor([68.19], device='cuda:0'), Acc 67.356689453125, Best Acc 69.10828399658203. (lr 0.0127971211493319, MMC 0.9512749314308167)
Epoch 83: TrainACC tensor([68.23], device='cuda:0'), Acc 67.95381927490234, Best Acc 69.10828399658203. (lr 0.012646091769154074, MMC 0.9511023759841919)
Epoch 84: TrainACC tensor([68.55], device='cuda:0'), Acc 69.22770690917969, Best Acc 69.10828399658203. (lr 0.012494411972776898, MMC 0.9513135552406311)
Epoch 85: TrainACC tensor([68.37], device='cuda:0'), Acc 68.59076690673828, Best Acc 69.22770690917969. (lr 0.012342119184920496, MMC 0.9513611197471619)
Epoch 86: TrainACC tensor([68.66], device='cuda:0'), Acc 68.15287017822266, Best Acc 69.22770690917969. (lr 0.012189250981551462, MMC 0.9516962170600891)
Epoch 87: TrainACC tensor([68.95], device='cuda:0'), Acc 68.03343963623047, Best Acc 69.22770690917969. (lr 0.01203584508061156, MMC 0.9516631364822388)
Epoch 88: TrainACC tensor([69.06], device='cuda:0'), Acc 67.83439636230469, Best Acc 69.22770690917969. (lr 0.01188193933271139, MMC 0.9513782262802124)
Epoch 89: TrainACC tensor([69.47], device='cuda:0'), Acc 68.43152618408203, Best Acc 69.22770690917969. (lr 0.0117275717117913, MMC 0.9512368440628052)
Epoch 90: TrainACC tensor([69.27], device='cuda:0'), Acc 68.98885345458984, Best Acc 69.22770690917969. (lr 0.011572780305751908, MMC 0.9517461061477661)
Epoch 91: TrainACC tensor([69.31], device='cuda:0'), Acc 68.59076690673828, Best Acc 69.22770690917969. (lr 0.011417603307056453, MMC 0.952168881893158)
Epoch 92: TrainACC tensor([69.60], device='cuda:0'), Acc 67.27706909179688, Best Acc 69.22770690917969. (lr 0.011262079003307402, MMC 0.9516137838363647)
Epoch 93: TrainACC tensor([69.72], device='cuda:0'), Acc 67.19745635986328, Best Acc 69.22770690917969. (lr 0.011106245767799543, MMC 0.9520307183265686)
Epoch 94: TrainACC tensor([69.73], device='cuda:0'), Acc 70.70063781738281, Best Acc 69.22770690917969. (lr 0.010950142050051959, MMC 0.9524053335189819)
Epoch 95: TrainACC tensor([69.97], device='cuda:0'), Acc 69.3869400024414, Best Acc 70.70063781738281. (lr 0.010793806366321173, MMC 0.9527463316917419)
Epoch 96: TrainACC tensor([70.13], device='cuda:0'), Acc 68.63057708740234, Best Acc 70.70063781738281. (lr 0.010637277290097842, MMC 0.9525734782218933)
Epoch 97: TrainACC tensor([70.57], device='cuda:0'), Acc 69.42675018310547, Best Acc 70.70063781738281. (lr 0.01048059344258933, MMC 0.9528346061706543)
Epoch 98: TrainACC tensor([70.74], device='cuda:0'), Acc 71.49681854248047, Best Acc 70.70063781738281. (lr 0.010323793483190501, MMC 0.9527713656425476)
Epoch 99: TrainACC tensor([70.30], device='cuda:0'), Acc 69.10828399658203, Best Acc 71.49681854248047. (lr 0.010166916099945088, MMC 0.9450587034225464)
