args Namespace(arch='sevenCNN', batch_size=128, closeset_ratio=0.2, conf_ema_range=[0.9, 0.5], cosine=True, dataset='cifar100', epochs=200, epsilon=0.6, exp_dir='experiment/cifar-sota/Cifar2023-08-09-14-50-48ds_cifar100_lr_0.02_ep_200_ps_1_lw_1.3_warmupepochs_30_rechange_per_epoch_30', forget_rate=0.2, gpu=0, loss_weight1=1.3, loss_weight2=0.7, low_dim=256, lr=0.02, lr_decay_epochs='100,150,180', lr_decay_rate=0.1, moco_m=0.999, moco_queue=8192, momentum=0.9, n_classes=100, noise_type='symmetric', print_freq=100, prot_start=1, proto_m=0.988, rechange_per_epoch=30, resume='', seed=100, synthetic_data='cifar80no', topk=10, warmupepochs=30, warmuplr=0.01, weight_decay=0.0011, workers=32)

Epoch 0: TrainACC 6.417438983917236, Acc 15.05000114440918, Best Acc 0. (lr 0.02, MMC 1.0)
Epoch 62: TrainACC tensor([42.10], device='cuda:0'), Acc 56.962501525878906, Best Acc 57.10000228881836. (lr 0.015625212944742787, MMC 0.8473390340805054)
Epoch 63: TrainACC tensor([41.99], device='cuda:0'), Acc 56.962501525878906, Best Acc 57.10000228881836. (lr 0.015494737951801337, MMC 0.8427271842956543)
Epoch 64: TrainACC tensor([42.43], device='cuda:0'), Acc 55.07500076293945, Best Acc 57.10000228881836. (lr 0.015362909681840176, MMC 0.8408203125)
Epoch 65: TrainACC tensor([42.44], device='cuda:0'), Acc 57.85000228881836, Best Acc 57.10000228881836. (lr 0.01522976066151233, MMC 0.8406737446784973)
Epoch 66: TrainACC tensor([42.64], device='cuda:0'), Acc 56.60000228881836, Best Acc 57.85000228881836. (lr 0.01509532374334621, MMC 0.8416462540626526)
Epoch 67: TrainACC tensor([42.87], device='cuda:0'), Acc 57.57500457763672, Best Acc 57.85000228881836. (lr 0.014959632097639753, MMC 0.8427817821502686)
Epoch 68: TrainACC tensor([42.92], device='cuda:0'), Acc 57.275001525878906, Best Acc 57.85000228881836. (lr 0.014822719204276136, MMC 0.8436959385871887)
Epoch 69: TrainACC tensor([42.82], device='cuda:0'), Acc 57.562503814697266, Best Acc 57.85000228881836. (lr 0.01468461884446313, MMC 0.8448055982589722)
Epoch 70: TrainACC tensor([43.10], device='cuda:0'), Acc 56.42500305175781, Best Acc 57.85000228881836. (lr 0.014545365092398073, MMC 0.8459569811820984)
Epoch 71: TrainACC tensor([42.96], device='cuda:0'), Acc 57.750003814697266, Best Acc 57.85000228881836. (lr 0.014404992306860591, MMC 0.8468456864356995)
Epoch 72: TrainACC tensor([43.48], device='cuda:0'), Acc 58.98750305175781, Best Acc 57.85000228881836. (lr 0.014263535122735076, MMC 0.8474488854408264)
Epoch 73: TrainACC tensor([43.38], device='cuda:0'), Acc 56.525001525878906, Best Acc 58.98750305175781. (lr 0.014121028442465038, MMC 0.847891092300415)
Epoch 74: TrainACC tensor([43.80], device='cuda:0'), Acc 58.812503814697266, Best Acc 58.98750305175781. (lr 0.013977507427441457, MMC 0.8484955430030823)
Epoch 75: TrainACC tensor([43.74], device='cuda:0'), Acc 57.22500228881836, Best Acc 58.98750305175781. (lr 0.013833007489327247, MMC 0.8486396670341492)
Epoch 76: TrainACC tensor([43.72], device='cuda:0'), Acc 59.35000228881836, Best Acc 58.98750305175781. (lr 0.013687564281319935, MMC 0.8486313819885254)
Epoch 77: TrainACC tensor([43.87], device='cuda:0'), Acc 57.812503814697266, Best Acc 59.35000228881836. (lr 0.01354121368935478, MMC 0.8488729596138)
Epoch 78: TrainACC tensor([43.90], device='cuda:0'), Acc 58.562503814697266, Best Acc 59.35000228881836. (lr 0.013393991823250464, MMC 0.8491438031196594)
Epoch 79: TrainACC tensor([43.89], device='cuda:0'), Acc 58.587501525878906, Best Acc 59.35000228881836. (lr 0.013245935007799513, MMC 0.8496171832084656)
Epoch 80: TrainACC tensor([44.09], device='cuda:0'), Acc 59.01250457763672, Best Acc 59.35000228881836. (lr 0.013097079773805725, MMC 0.8500632047653198)
Epoch 81: TrainACC tensor([44.24], device='cuda:0'), Acc 58.92500305175781, Best Acc 59.35000228881836. (lr 0.012947462849070718, MMC 0.8502792716026306)
Epoch 82: TrainACC tensor([44.32], device='cuda:0'), Acc 58.337501525878906, Best Acc 59.35000228881836. (lr 0.0127971211493319, MMC 0.8507429361343384)
Epoch 83: TrainACC tensor([44.69], device='cuda:0'), Acc 57.30000305175781, Best Acc 59.35000228881836. (lr 0.012646091769154074, MMC 0.8509962558746338)
Epoch 84: TrainACC tensor([44.59], device='cuda:0'), Acc 59.26250457763672, Best Acc 59.35000228881836. (lr 0.012494411972776898, MMC 0.8513271808624268)
Epoch 85: TrainACC tensor([44.82], device='cuda:0'), Acc 58.36250305175781, Best Acc 59.35000228881836. (lr 0.012342119184920496, MMC 0.8517838716506958)
Epoch 86: TrainACC tensor([44.59], device='cuda:0'), Acc 56.91250228881836, Best Acc 59.35000228881836. (lr 0.012189250981551462, MMC 0.8517714142799377)
Epoch 87: TrainACC tensor([44.77], device='cuda:0'), Acc 59.187503814697266, Best Acc 59.35000228881836. (lr 0.01203584508061156, MMC 0.8520938754081726)
Epoch 88: TrainACC tensor([45.09], device='cuda:0'), Acc 58.57500457763672, Best Acc 59.35000228881836. (lr 0.01188193933271139, MMC 0.8523248434066772)
Epoch 89: TrainACC tensor([45.09], device='cuda:0'), Acc 57.41250228881836, Best Acc 59.35000228881836. (lr 0.0117275717117913, MMC 0.8519670367240906)
Epoch 90: TrainACC tensor([44.84], device='cuda:0'), Acc 57.80000305175781, Best Acc 59.35000228881836. (lr 0.011572780305751908, MMC 0.8468775749206543)
Epoch 91: TrainACC tensor([45.08], device='cuda:0'), Acc 57.55000305175781, Best Acc 59.35000228881836. (lr 0.011417603307056453, MMC 0.8431876301765442)
Epoch 92: TrainACC tensor([45.10], device='cuda:0'), Acc 58.55000305175781, Best Acc 59.35000228881836. (lr 0.011262079003307402, MMC 0.8409375548362732)
Epoch 93: TrainACC tensor([45.29], device='cuda:0'), Acc 58.38750457763672, Best Acc 59.35000228881836. (lr 0.011106245767799543, MMC 0.8407780528068542)
Epoch 94: TrainACC tensor([45.45], device='cuda:0'), Acc 57.98750305175781, Best Acc 59.35000228881836. (lr 0.010950142050051959, MMC 0.8411552906036377)
Epoch 95: TrainACC tensor([45.69], device='cuda:0'), Acc 57.500003814697266, Best Acc 59.35000228881836. (lr 0.010793806366321173, MMC 0.8420720100402832)
Epoch 96: TrainACC tensor([45.41], device='cuda:0'), Acc 59.337501525878906, Best Acc 59.35000228881836. (lr 0.010637277290097842, MMC 0.8425134420394897)
