args Namespace(arch='resnet50', batch_size=48, closeset_ratio=0.2, conf_ema_range=[0.9, 0.6], cosine=True, dataset='web-car', epochs=100, epsilon=0.53, exp_dir='experiment/web_car-sota/Webthree2023-08-08-23-05-58ds_web-car_lr_0.015_ep_100_ps_1_lw_0.3_warmupepochs_10_rechange_per_epoch_40', forget_rate=0.2, gpu=0, loss_weight1=0.3, loss_weight2=1.0, loss_weight3=0.0, loss_weight4=1.0, low_dim=512, lr=0.015, lr_decay_epochs='100,150,180', lr_decay_rate=0.1, moco_m=0.999, moco_queue=4096, momentum=0.9, n_classes=196, noise_type='symmetric', print_freq=100, prot_start=1, proto_m=0.998, rechange_per_epoch=40, resume='', seed=100, synthetic_data=None, topk=100, warmupepochs=10, warmuplr=0.01, weight_decay=0.0011, workers=32)

Epoch 0: TrainACC 16.152122497558594, Acc 34.372928619384766, Best Acc 0. (lr 0.015, MMC 1.0)
Epoch 35: TrainACC tensor([83.51], device='cuda:0'), Acc 77.32355499267578, Best Acc 77.78329467773438. (lr 0.010909023819298553, MMC 0.8036008477210999)
Epoch 36: TrainACC tensor([84.03], device='cuda:0'), Acc 76.31018829345703, Best Acc 77.78329467773438. (lr 0.010697651342051306, MMC 0.8053213357925415)
Epoch 37: TrainACC tensor([83.85], device='cuda:0'), Acc 76.62773132324219, Best Acc 77.78329467773438. (lr 0.010483130570581093, MMC 0.8069759607315063)
Epoch 38: TrainACC tensor([84.29], device='cuda:0'), Acc 74.66451263427734, Best Acc 77.78329467773438. (lr 0.01026567321098995, MMC 0.8083477020263672)
Epoch 39: TrainACC tensor([84.46], device='cuda:0'), Acc 75.99403381347656, Best Acc 77.78329467773438. (lr 0.010045493867437846, MMC 0.8094761371612549)
Epoch 40: TrainACC tensor([85.04], device='cuda:0'), Acc 76.09619903564453, Best Acc 77.78329467773438. (lr 0.009822809830354294, MMC 0.8106687068939209)
Epoch 41: TrainACC tensor([85.19], device='cuda:0'), Acc 78.72763061523438, Best Acc 77.78329467773438. (lr 0.009597840861998925, MMC 0.8116970062255859)
Epoch 42: TrainACC tensor([86.11], device='cuda:0'), Acc 78.64341735839844, Best Acc 78.72763061523438. (lr 0.009370808979582673, MMC 0.8128906488418579)
Epoch 43: TrainACC tensor([86.11], device='cuda:0'), Acc 78.98856353759766, Best Acc 78.72763061523438. (lr 0.009141938236163596, MMC 0.8140446543693542)
Epoch 44: TrainACC tensor([86.47], device='cuda:0'), Acc 76.90109252929688, Best Acc 78.98856353759766. (lr 0.008911454499533542, MMC 0.8152169585227966)
Epoch 45: TrainACC tensor([87.08], device='cuda:0'), Acc 78.50397491455078, Best Acc 78.98856353759766. (lr 0.008679585229313929, MMC 0.8165775537490845)
Epoch 46: TrainACC tensor([87.23], device='cuda:0'), Acc 77.71150970458984, Best Acc 78.98856353759766. (lr 0.008446559252480551, MMC 0.8176685571670532)
Epoch 47: TrainACC tensor([87.48], device='cuda:0'), Acc 78.7027816772461, Best Acc 78.98856353759766. (lr 0.008212606537538967, MMC 0.8187174201011658)
Epoch 48: TrainACC tensor([88.02], device='cuda:0'), Acc 78.2430419921875, Best Acc 78.98856353759766. (lr 0.00797795796757338, MMC 0.8196220993995667)
Epoch 49: TrainACC tensor([87.46], device='cuda:0'), Acc 80.0971908569336, Best Acc 78.98856353759766. (lr 0.007742845112392876, MMC 0.8189961314201355)
Epoch 50: TrainACC tensor([89.11], device='cuda:0'), Acc 80.33051300048828, Best Acc 80.0971908569336. (lr 0.0075075, MMC 0.8086625933647156)
Epoch 51: TrainACC tensor([89.53], device='cuda:0'), Acc 79.68438720703125, Best Acc 80.33051300048828. (lr 0.007272154887607124, MMC 0.8007583022117615)
Epoch 52: TrainACC tensor([89.93], device='cuda:0'), Acc 81.83399200439453, Best Acc 80.33051300048828. (lr 0.00703704203242662, MMC 0.7968454957008362)
Epoch 53: TrainACC tensor([90.15], device='cuda:0'), Acc 82.19432830810547, Best Acc 81.83399200439453. (lr 0.006802393462461032, MMC 0.7948745489120483)
Epoch 54: TrainACC tensor([90.63], device='cuda:0'), Acc 81.98310089111328, Best Acc 82.19432830810547. (lr 0.006568440747519452, MMC 0.7939323782920837)
Epoch 55: TrainACC tensor([90.82], device='cuda:0'), Acc 82.28131103515625, Best Acc 82.19432830810547. (lr 0.006335414770686071, MMC 0.7935931086540222)
Epoch 56: TrainACC tensor([91.21], device='cuda:0'), Acc 81.92096710205078, Best Acc 82.28131103515625. (lr 0.006103545500466458, MMC 0.7938081622123718)
Epoch 57: TrainACC tensor([91.35], device='cuda:0'), Acc 83.0268325805664, Best Acc 82.28131103515625. (lr 0.005873061763836407, MMC 0.7939605116844177)
Epoch 58: TrainACC tensor([91.78], device='cuda:0'), Acc 82.31858825683594, Best Acc 83.0268325805664. (lr 0.005644191020417326, MMC 0.79416823387146)
Epoch 59: TrainACC tensor([92.38], device='cuda:0'), Acc 81.99552154541016, Best Acc 83.0268325805664. (lr 0.005417159138001075, MMC 0.794796884059906)
Epoch 60: TrainACC tensor([92.59], device='cuda:0'), Acc 81.78429412841797, Best Acc 83.0268325805664. (lr 0.005192190169645709, MMC 0.7958500981330872)
Epoch 61: TrainACC tensor([92.92], device='cuda:0'), Acc 84.05814361572266, Best Acc 83.0268325805664. (lr 0.004969506132562155, MMC 0.7969203591346741)
Epoch 62: TrainACC tensor([93.24], device='cuda:0'), Acc 82.5546646118164, Best Acc 84.05814361572266. (lr 0.0047493267890100525, MMC 0.798459529876709)
Epoch 63: TrainACC tensor([93.72], device='cuda:0'), Acc 84.35912322998047, Best Acc 84.05814361572266. (lr 0.004531869429418906, MMC 0.8002208471298218)
Epoch 64: TrainACC tensor([93.84], device='cuda:0'), Acc 83.15109252929688, Best Acc 84.35912322998047. (lr 0.004317348657948693, MMC 0.8013088703155518)
Epoch 65: TrainACC tensor([94.23], device='cuda:0'), Acc 84.64214324951172, Best Acc 84.35912322998047. (lr 0.004105976180701446, MMC 0.8025029897689819)
Epoch 66: TrainACC tensor([94.55], device='cuda:0'), Acc 83.30296325683594, Best Acc 84.64214324951172. (lr 0.003897960596792897, MMC 0.8038661479949951)
Epoch 67: TrainACC tensor([94.79], device='cuda:0'), Acc 84.2569580078125, Best Acc 84.64214324951172. (lr 0.0036935071924903426, MMC 0.8052213191986084)
Epoch 68: TrainACC tensor([95.01], device='cuda:0'), Acc 83.71023559570312, Best Acc 84.64214324951172. (lr 0.003492817738619866, MMC 0.806834876537323)
Epoch 69: TrainACC tensor([95.35], device='cuda:0'), Acc 84.08300018310547, Best Acc 84.64214324951172. (lr 0.003296090291442911, MMC 0.8081739544868469)
Epoch 70: TrainACC tensor([95.73], device='cuda:0'), Acc 83.63568115234375, Best Acc 84.64214324951172. (lr 0.0031035189971986457, MMC 0.8098874092102051)
Epoch 71: TrainACC tensor([95.75], device='cuda:0'), Acc 84.50546264648438, Best Acc 84.64214324951172. (lr 0.0029152939005050726, MMC 0.8111149668693542)
Epoch 72: TrainACC tensor([95.91], device='cuda:0'), Acc 84.6794204711914, Best Acc 84.64214324951172. (lr 0.002731600756807942, MMC 0.8118982911109924)
Epoch 73: TrainACC tensor([96.20], device='cuda:0'), Acc 84.46818542480469, Best Acc 84.6794204711914. (lr 0.0025526208490625393, MMC 0.8133133053779602)
Epoch 74: TrainACC tensor([96.50], device='cuda:0'), Acc 85.23856353759766, Best Acc 84.6794204711914. (lr 0.0023785308088292993, MMC 0.8151305317878723)
Epoch 75: TrainACC tensor([96.71], device='cuda:0'), Acc 84.72911834716797, Best Acc 85.23856353759766. (lr 0.002209502441959793, MMC 0.8166891932487488)
Epoch 76: TrainACC tensor([96.82], device='cuda:0'), Acc 84.18240356445312, Best Acc 85.23856353759766. (lr 0.0020457025590450754, MMC 0.8181485533714294)
Epoch 77: TrainACC tensor([97.11], device='cuda:0'), Acc 84.68218231201172, Best Acc 85.23856353759766. (lr 0.0018872928107937816, MMC 0.8192153573036194)
Epoch 78: TrainACC tensor([97.20], device='cuda:0'), Acc 84.96520233154297, Best Acc 85.23856353759766. (lr 0.0017344295285023998, MMC 0.8203257918357849)
Epoch 79: TrainACC tensor([97.22], device='cuda:0'), Acc 84.81886291503906, Best Acc 85.23856353759766. (lr 0.0015872635697751396, MMC 0.821075439453125)
Epoch 80: TrainACC tensor([97.38], device='cuda:0'), Acc 84.81610107421875, Best Acc 85.23856353759766. (lr 0.0014459401696457071, MMC 0.8217965960502625)
Epoch 81: TrainACC tensor([97.48], device='cuda:0'), Acc 85.51192474365234, Best Acc 85.23856353759766. (lr 0.0013105987972478464, MMC 0.8228863477706909)
Epoch 82: TrainACC tensor([97.61], device='cuda:0'), Acc 85.82256317138672, Best Acc 85.51192474365234. (lr 0.0011813730181761538, MMC 0.8234317302703857)
Epoch 83: TrainACC tensor([97.70], device='cuda:0'), Acc 85.51192474365234, Best Acc 85.82256317138672. (lr 0.0010583903626729515, MMC 0.8242773413658142)
Epoch 84: TrainACC tensor([97.68], device='cuda:0'), Acc 85.49949645996094, Best Acc 85.82256317138672. (lr 0.0009417721997713521, MMC 0.8250355124473572)
Epoch 85: TrainACC tensor([97.85], device='cuda:0'), Acc 85.01490783691406, Best Acc 85.82256317138672. (lr 0.0008316336175186544, MMC 0.8251071572303772)
Epoch 86: TrainACC tensor([97.97], device='cuda:0'), Acc 86.0337905883789, Best Acc 85.82256317138672. (lr 0.0007280833093983501, MMC 0.8259741067886353)
Epoch 87: TrainACC tensor([97.90], device='cuda:0'), Acc 86.10834503173828, Best Acc 86.0337905883789. (lr 0.000631223467062773, MMC 0.8261184096336365)
Epoch 88: TrainACC tensor([97.88], device='cuda:0'), Acc 85.64860534667969, Best Acc 86.10834503173828. (lr 0.0005411496794822769, MMC 0.8264294266700745)
Epoch 89: TrainACC tensor([98.02], device='cuda:0'), Acc 85.83775329589844, Best Acc 86.10834503173828. (lr 0.0004579508386104658, MMC 0.8258947134017944)
Epoch 90: TrainACC tensor([98.08], device='cuda:0'), Acc 85.83775329589844, Best Acc 86.10834503173828. (lr 0.0003817090516585622, MMC 0.8177910447120667)
Epoch 91: TrainACC tensor([98.14], device='cuda:0'), Acc 86.04621887207031, Best Acc 86.10834503173828. (lr 0.0003124995600655049, MMC 0.8147134780883789)
Epoch 92: TrainACC tensor([98.11], device='cuda:0'), Acc 85.98409271240234, Best Acc 86.10834503173828. (lr 0.0002503906652437325, MMC 0.814193606376648)
Epoch 93: TrainACC tensor([98.18], device='cuda:0'), Acc 86.18289947509766, Best Acc 86.10834503173828. (lr 0.0001954436611739357, MMC 0.8130729794502258)
Epoch 94: TrainACC tensor([98.20], device='cuda:0'), Acc 86.41898345947266, Best Acc 86.18289947509766. (lr 0.00014771277391529978, MMC 0.8129178881645203)
Epoch 95: TrainACC tensor([98.22], device='cuda:0'), Acc 86.3071517944336, Best Acc 86.41898345947266. (lr 0.00010724510809093108, MMC 0.8129364848136902)
Epoch 96: TrainACC tensor([98.17], device='cuda:0'), Acc 86.10834503173828, Best Acc 86.41898345947266. (lr 7.408060040127535e-05, MMC 0.8125112056732178)
Epoch 97: TrainACC tensor([98.21], device='cuda:0'), Acc 86.10834503173828, Best Acc 86.41898345947266. (lr 4.8251980211423134e-05, MMC 0.8120831251144409)
Epoch 98: TrainACC tensor([98.13], device='cuda:0'), Acc 86.10834503173828, Best Acc 86.41898345947266. (lr 2.978473725117535e-05, MMC 0.8109928369522095)
Epoch 99: TrainACC tensor([98.14], device='cuda:0'), Acc 86.18289947509766, Best Acc 86.41898345947266. (lr 1.869709645975599e-05, MMC 0.8104638457298279)
